status,report,source,old_h1_len,old_max_line_len,new_h1_len,new_max_line_len,new_chars
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144879-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-146-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_146_body_LAND_ROVER_AND_THE_ADVERTISING.md",190,418,190,418,8435
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144881-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-148-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_148_body_SWOOSH_IDENTITY__RECONTEXTUALI.md",167,663,167,418,6073
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144884-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-150-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_150_body_THE_SWOOSH_IN_ROMANIA_AND_HAIT.md",189,440,189,440,8255
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144888-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-15-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_15_preface_THE_IDEAL_BOOK_William_Morris_.md",191,440,191,440,9089
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144893-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-20-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_20_preface_SECTION_3___INTRODUCTION___Reb.md",191,433,191,433,7976
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144897-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-24-body-T-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_24_body_THE_COLORISTES_AND_CHARLES-EDO.md",191,414,191,414,7971
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144899-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-26-body-F-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_26_body_FROM_WORKSHOP_TO_LABORATORY,_F.md",187,414,187,414,7734
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144901-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-28-body-T-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_28_body_THE_SEARCH_FOR_AN_AMERICAN_DES.md",185,439,185,439,8216
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144903-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-30-body-S-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_30_body_SECTION_4.md",107,664,107,441,5539
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144904-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-31-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_31_preface_INTRODUCTION.md",110,656,110,427,5463
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144905-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-32-body-G-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_32_body_Grace_Lees-Maffei___UTILITY_FU.md",191,416,191,416,8036
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144907-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-34-body-H-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_34_body_'HERE_IS_THE_MODERN_WORLD_ITSE.md",191,414,191,414,9076
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144909-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-36-body-2-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_36_body_21_POPULUXE_Thomas_Hine_(1987).md",191,414,191,414,8842
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144913-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-40-body-S-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_40_body_SECTION_5.md",107,658,107,435,5465
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144914-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-41-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_41_preface_INTRODUCTION.md",110,656,110,427,5463
