priority,report,source,reasons
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0322-fran-carter-preface-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0323-forgetting-keeping-giving-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0324-Notes-01-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0324-notes-keeping-giving-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0325-Notes-02-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0325-notes-section-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0326-Sex-Birth-Nurture-OCR-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0326-body-life-cycle-textiles-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0327-Introduction-01-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0327-section-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0328-Maternal-Memory-Coarse-Craft-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0328-maternal-memory-craft-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0329-Notes-03-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0329-maternal-notes-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0330-Performing-Masculinity-OCR-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0330-body-performing-masculinity-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0331-Introduction-02-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0331-section-introduction-gender-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0332-playboy-bachelor-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0333-Notes-04-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0333-gender-notes-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0334-Objects-Embodiment-Archive-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0334-objects-embodiment-seduced-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0335-Introduction-03-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0335-section-introduction-archive-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0336-life-in-archive-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0337-Notes-05-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0337-archive-notes-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0338-Kitsch-Enchantment-OCR-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0338-kitsch-enchantment-body-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0339-Introduction-04-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0339-section-kitsch-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0340-saint-sulpice-kitsch-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0341-Introduction-05-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0341-section-war-memory-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0342-Notes-06-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0342-section-relation-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-Section-Four-Mediating-Relationships-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P2:知识要素含噪声词:section"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-family-memory-photography-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-relations-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0344-Introduction-06-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0344-section-home-memory-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0345-Family-Memory-Photography-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0345-meaning-made-belief-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0346-Introduction-07-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0346-section-memory-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0347-Introduction-08-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0347-section-meaning-introduction-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0348-Meaning-and-Made-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0348-meaning-made-belief-body-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0349-Bibliography-OCR-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0349-ocr-bibliography-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0350-Index-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0350-ocr-index-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0351-Automations-Finest-Hour-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,hierarchy,evidence,quote_boundary,technical_boundary,conclusion"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0351-automation-finest-hour-title-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0352-control-training-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0353-More-Than-Sum-Components-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0353-system-integration-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0354-mindell-full-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0355-Automation-Preface-OCR-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0355-mindell-preface-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,textbook_use,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
