action,report,b_number,declared_sources,suggested_source,suggestion_score,suggestion_confidence,flags,rationale
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3286-American-Art-Deco-lighting-clocks-decorative-arts-report.md,B3286,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/01-AMERICAN ARTDECO.md,0.111,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3287-American-Art-Deco-architecture-report.md,B3287,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/05-ARCHITECTURE.md,0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3288-American-Art-Deco-sculpture-report.md,B3288,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/06-SCULPTURE.md,0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3289-American-Art-Deco-painting-graphics-report.md,B3289,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/01-AMERICAN ARTDECO.md,0.143,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3290-American-Art-Deco-world-fairs-report.md,B3290,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/01-AMERICAN ARTDECO.md,0.143,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3291-American-Art-Deco-industrial-design-report.md,B3291,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/09-INDUSTRIAL DESIGN.md,0.333,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3293-Rodchenko-Photography-photo-eye-main-essay-report.md,B3293,,00-books/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/02-The Photo-EyeDas Photo-AugeL'œil de l’appareil.md,0.083,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3294-Rodchenko-Photography-kino-eye-mess-mend-lef-report.md,B3294,,,,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3295-Rodchenko-Photography-foreshortening-urban-motion-appendix-report.md,B3295,,,,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3296-Brodovitch-Portfolio-cover-fragment-report.md",B3296,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/01-PORTFOLIO.md",0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3297-Brodovitch-title-contents-copyright-report.md",B3297,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",0.091,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3298-Brodovitch-introduction-formative-years-report.md",B3298,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",0.091,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3299-Brodovitch-ballets-russes-paris-modernism-report.md",B3299,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/04-BALLETS RUSSES.md",0.333,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3300-Brodovitch-prunier-athelia-commercial-art-report.md",B3300,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/06-ATHELIA.md",0.167,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3301-Brodovitch-athelia-freelance-networks-report.md",B3301,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/06-ATHELIA.md",0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3302-Brodovitch-contes-fantastiques-book-illustration-report.md",B3302,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",0.083,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3303-Brodovitch-bauer-type-advertising-report.md",B3303,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/08-BAUERBeton,a creation of Bauer's chief designer, Heinrich Jo.md",0.100,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3304-Brodovitch-harpers-bazaar-paper-movies-report.md",B3304,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/09-BAZAAR.md",0.167,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3305-Brodovitch-saks-freelance-bazaar-tensions-report.md",B3305,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/09-BAZAAR.md",0.167,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3306-Brodovitch-design-lab-photography-ballet-report.md",B3306,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",0.083,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3307-Brodovitch-hobo-signs-portfolio-feature-report.md",B3307,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/01-PORTFOLIO.md",0.167,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3308-Brodovitch-robert-osborn-postscript-index-report.md",B3308,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/13-ROBERT OSBORN.md",0.333,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3309-Brodovitch-complete-aggregate-report.md",B3309,,"00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha.md",0.100,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
exclude_and_rebuild,"00-books-result/Charles, Victoria：Neoclassicism, 2019/B44132189-Cover-Page-report.md",B44132189,"00-books/Charles, Victoria：Neoclassicism, 2019/01-Cover Page.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,00-books-result/Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》/B44132673-CWZ_页面_129-report.md,B44132673,00-books/Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》/129-CWZ_页面_129.md,,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,00-books-result/Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》/B44132676-CWZ_页面_131-report.md,B44132676,00-books/Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》/131-CWZ_页面_131.md,,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132946-00000503-tif-report.md",B44132946,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/02-00000503.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132948-00000505-tif-report.md",B44132948,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/04-00000505.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132952-00000509-tif-report.md",B44132952,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/08-00000509.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132955-00000601-tif-report.md",B44132955,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/100-00000601.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132957-00000603-tif-report.md",B44132957,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/102-00000603.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132961-00000607-tif-report.md",B44132961,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/106-00000607.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132970-00000615-tif-report.md",B44132970,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/114-00000615.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132976-00000513-tif-report.md",B44132976,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/12-00000513.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44132984-00000628-tif-report.md",B44132984,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/127-00000628.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133020-00000517-tif-report.md",B44133020,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/16-00000517.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133025-00000665-tif-report.md",B44133025,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/164-00000665.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133042-00000519-tif-report.md",B44133042,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/18-00000519.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133059-00000696-tif-report.md",B44133059,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/195-00000696.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133064-00000521-tif-report.md",B44133064,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/20-00000521.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133066-00000523-tif-report.md",B44133066,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/22-00000523.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133072-00000529-tif-report.md",B44133072,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/28-00000529.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133076-00000533-tif-report.md",B44133076,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/32-00000533.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133078-00000535-tif-report.md",B44133078,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/34-00000535.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133080-00000537-tif-report.md",B44133080,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/36-00000537.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133082-00000539-tif-report.md",B44133082,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/38-00000539.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133084-00000541-tif-report.md",B44133084,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/40-00000541.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133086-00000543-tif-report.md",B44133086,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/42-00000543.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133094-00000551-tif-report.md",B44133094,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/50-00000551.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133098-00000555-tif-report.md",B44133098,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/54-00000555.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133100-00000557-tif-report.md",B44133100,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/56-00000557.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133104-00000561-tif-report.md",B44133104,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/60-00000561.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133106-00000563-tif-report.md",B44133106,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/62-00000563.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133108-00000565-tif-report.md",B44133108,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/64-00000565.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
exclude_and_rebuild,"00-books-result/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/B44133112-00000569-tif-report.md",B44133112,"00-books/Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》/68-00000569.tif.md",,,,P0:source unreadable/empty but report generated,源文为空或不可读却生成报告，现有报告不能计入可靠完成量；需先恢复/确认源文，再按 V2 重写或降级为 E/D 类。
